"generic"           1580.1 3628.8
"mb. switch"        161.5 554.3
"mb. dispatch"      160.7 2551.6
"mb. switch + RT"   159.9 161.7
"mb. dispatch + RT" 161.8 161.8
"specialization"    155.8 156.3
"monomorphic"       157.7 157.7
