"generic"           50.1   50.1
"mb. switch"        30.9   35.5
"mb. dispatch"      16.5   58.2
"mb. switch + RT"   15.6   15.6
"mb. dispatch + RT" 15.1   15.9
"specialization"    39.7   39.7
"monomorphic"       16.2   16.2
